  ID  |              Name              |  Lvl |     XP     |    Gold    |
 255  |            Frostlok            |  41  |     89     |     45     |
 256  |           Left Hand            |  93  |    2133    |    785     |
 257  |            Narrviz             |  95  |    4859    |    2302    |
 258  |     Zadd the Golem Builder     |  64  |    934     |    437     |
 259  |             Aquus              |  83  |    8524    |    406     |
 260  |           The Unseen           |  21  |     32     |     20     |
 261  |         Garden Snayls          |  20  |     38     |     17     |
 262  |             Jagos              |  77  |    2419    |    1212    |
 263  |           War Dragon           |  70  |    513     |    516     |
 264  |           Drakonnan            |  90  |    7512    |    3218    |
 265  |          Water Dragon          |  55  |    172     |    173     |
 266  |           D.R.O.U.S.           |  22  |     59     |     12     |
 267  |          Weapon Golem          |  43  |     38     |     71     |
 268  |        Magman Superior         |  78  |    3931    |    261     |
 269  |            Mr. Worm            |  99  |    9791    |    2200    |
 270  |         Griffin Queen          |  54  |    251     |     84     |
 271  |          Demon Steed           |  36  |     63     |     36     |
 272  |           Fire Eater           |  47  |    145     |     58     |
 273  |             Djinni             |  45  |    141     |     47     |
 274  |           Salamander           |  33  |     55     |     31     |
 275  |           Ice Dragon           |  75  |    757     |    758     |
 276  |          Grand Sphinx          |  87  |    3058    |    1019    |
 277  |           Rock Wall            |  40  |     19     |     64     |
 278  |           Fire Gloop           |  51  |    256     |     52     |
 279  |       Young Fire Dragon        |  20  |     29     |     28     |
 280  |           Red Dragon           |  35  |     51     |     52     |
 281  |         Demon Panther          |  50  |    194     |     64     |
 282  |             Ghoul              |  54  |    248     |     85     |
 283  |           Salamander           |  75  |    882     |    491     |
 284  |             Hydra              |  85  |    2601    |    867     |
 285  |         Plasma Dragon          |  50  |    270     |    276     |
 286  |      Plasma Dragon Worker      |  19  |     59     |     62     |
 287  |         Zeel Defender          |  85  |    3296    |    1646    |
 288  |             Xarav              |  81  |    4157    |    1383    |
 289  |           King BURP            |  39  |    222     |     72     |
 290  |           King BURP            |  19  |     98     |     30     |
 291  |           Salamander           | 105  |   10160    |    5642    |
 292  |           Terropain            |  36  |     84     |     29     |
 293  |      Krathan the Centocor      |  85  |    4646    |    2265    |
 294  |       Immaterial Banshee       |  63  |    476     |    158     |
 295  |           Fire Orbs            |  71  |    835     |    298     |
 296  |         Mutant Natator         |  78  |    1337    |    547     |
 297  |              Gogg              |  67  |    512     |    255     |
 298  |       Shadowfire Knight        |  80  |    3066    |    1535    |
 299  |     Kssng the Crystal King     |  59  |    965     |    200     |
 300  |           Tonpay Ape           |  58  |    190     |    158     |
 301  |        Fatalis (Undead)        |  75  |    1569    |    262     |
 302  |     Giant Chicken Trobble      |  50  |    221     |     55     |
 303  |            Cthulion            |  67  |    818     |    153     |
 304  |          Dendranabis           |  56  |    286     |     97     |
 305  |            Szniflip            |  38  |     43     |     49     |
 306  |             Gorgon             |  84  |    2166    |    878     |
 307  |        Steppe Mastodon         |  63  |    563     |    129     |
 308  |          Undead Horse          |  68  |    909     |    156     |
 309  |             Seadog             |  22  |     35     |     20     |
 310  |          High Paladin          |  92  |    3815    |    1792    |
 311  |         Fiendish Phogh         |  79  |    1150    |    691     |
 312  |         Undead Knight          |  35  |     82     |     27     |
 313  |          Undead Mage           |  45  |    141     |     47     |
 314  |             Zombie             |  49  |    272     |     30     |
 315  |         Undead Skuller         |  38  |     58     |     44     |
 316  |         Undead Warlord         |  63  |    332     |    206     |
 317  |            Croaker             |  50  |    248     |     46     |
 318  |             Sprat              |  50  |    104     |     94     |
 319  |              BURP              |  40  |    121     |     30     |
 320  |          Little BURP           |  20  |     44     |     15     |
 321  |            Big BURP            |  60  |    381     |    128     |
 322  |          Starved BURP          |  5   |     37     |     9      |
 323  |           Rabid BURP           |  80  |    2012    |    492     |
 324  |         BURP Slayer??          |  5   |     0      |     0      |
 325  |           King BURP            |  69  |    1636    |    543     |
 326  |         UltraDrakonnan         |  60  |    2661    |    291     |
 327  |           The Seeker           |  97  |   21460    |    9197    |
 328  |           The Seeker           |  73  |    2596    |    1508    |
 329  |           The Seeker           |  52  |    537     |    339     |
 330  |           The Seeker           |  30  |    148     |    102     |
 331  |           Entromorph           |  95  |    5936    |    1943    |
 332  |      Gnuvain the Changer       |  10  |     13     |     19     |
 333  |      Supreme Fireshifter       |  75  |    2593    |    862     |
 334  |      Supreme Darkshifter       |  95  |    9313    |    3104    |
 335  |             Megogg             |  92  |    8089    |    4043    |
 336  |             Hirroo             |  93  |   16480    |    1830    |
 337  |             Hirroo             |  63  |    1568    |    173     |
 338  |             Hirroo             |  33  |    246     |     26     |
 339  |          Skull Swarm           |  50  |    290     |     32     |
 340  |             Ribber             |  0   |     30     |     10     |
 341  |      Gnuvain the Changer       |  20  |     14     |     25     |
 342  |           Big Zombie           |  55  |    404     |     45     |
 343  |          MechaZombie           |  69  |    372     |    371     |
 344  |      Gnuvain the Changer       |  50  |     0      |     0      |
 345  |       Undead Wolf Master       |  61  |    444     |    126     |
 346  |          Dark Djinni           |  90  |    3901    |    1301    |
 347  |          Undead Freak          |  25  |     37     |     23     |
 348  |          Dark Djinni           |  45  |    141     |     47     |
 349  |        Undead Berserker        |  56  |    256     |    107     |
 350  |          Lightbringer          |  92  |    4568    |    1541    |
 351  |             Droag              |  88  |    4786    |    615     |
 352  |         Zombie Dragon          |  38  |     70     |     40     |
 353  |          Pygmy Zombie          |  29  |     88     |     12     |
 354  |             Zombie             |  9   |     50     |     6      |
 355  |          Pygmy Zombie          |  69  |    1041    |    148     |
 356  |          Lesser Droag          |  40  |    109     |     34     |
 357  |         Sickly Zombie          |  4   |     27     |     12     |
 358  |          Zombie Giant          |  77  |    1358    |    465     |
 359  |         Zombie Dragon          |  70  |    672     |    310     |
 360  |         Zombie Knight          |  20  |     29     |     20     |
 361  |        Zombie Commander        |  98  |   13750    |    3375    |
 362  |        Zombie Commander        |  40  |    163     |     56     |
 363  |        Zombie Commander        |  20  |     60     |     26     |
 364  |            Firebird            |  0   |     30     |     10     |
 365  |        Vrictus Spectre         |  70  |    2639    |    294     |
 366  |     Young Darkness Dragon      |  25  |     36     |     33     |
 367  |             Ghost              |  52  |    329     |     37     |
 368  |      Undead Giant Moglin       |  62  |    361     |    174     |
 369  |          Moglin Ghost          |  35  |    121     |     14     |
 370  |       Baby Moglin Ghost        |  18  |     12     |     24     |
 371  |          Moglin Fiend          |  20  |     68     |     7      |
 372  |         Moglin Phantom         |  40  |    157     |     18     |
 373  |      Undead Moglin Knight      |  15  |     12     |     22     |
 374  |    Captain Frolgar's Braken    |  90  |    5790    |    3792    |
 375  |      Moglin Death Knight       |  40  |     43     |     56     |
 376  |     Drakelon Steam Dragon      |  70  |    867     |    245     |
 377  |       Drakelon Prototype       |  20  |     26     |     21     |
 378  |      Undead Moglin Demon       |  55  |    269     |     90     |
 379  |     Infernal Undead Moglin     |  15  |     39     |     13     |
 380  |             Kabroz             |  75  |    1293    |    1295    |
 381  |             Kabroz             |  60  |    422     |    420     |
 382  |             Kabroz             |  25  |     61     |     57     |
 383  |      Shiny Treasure Chest      |  4   |     0      |     0      |
 384  |          Moglin Freak          |  50  |    233     |     51     |
 385  |             Blecch             |  28  |     59     |     20     |
 386  |        Patchwork Moglin        |  15  |     27     |     17     |
 387  |         FlibbityGibbit         |  1   |     25     |     12     |
 388  |          Moglin Sword          |  0   |     0      |     0      |
 389  |         Franken-Moglin         |  50  |    161     |     75     |
 390  |          Skull Swarm           |  30  |     96     |     11     |
 391  |             Blecch             |  1   |     28     |     11     |
 392  |          Moglin Freak          |  90  |    4681    |    1041    |
 393  |          Moglin Freak          |  25  |     64     |     14     |
 394  |          Zombie Hydra          |  88  |    3700    |    977     |
 395  |            Iskrema             |  92  |    4601    |    1530    |
 396  |          Hybee Larva           |  10  |     34     |     12     |
 397  |          Young Hybee           |  20  |     44     |     15     |
 398  |         Hybee Soldier          |  30  |     63     |     22     |
 399  |     Veteran Hybee Soldier      |  40  |    106     |     35     |
 400  |          Queen Hybee           |  50  |    552     |    182     |
 401  |             Carnax             | 108  |   114400   |   19990    |
 402  |          Acid Spitter          |  72  |    1006    |    287     |
 403  |            Nogh'da             |  60  |    282     |    161     |
 404  |            Kharssal            |  88  |    2593    |    1346    |
 405  |        Commander Kragg         |  90  |    9037    |    2710    |
 406  |          Lightbringer          |  50  |    134     |     84     |
 407  |          Lightbringer          |  65  |    461     |    213     |
 408  |      Drakel Swordmistress      |  79  |    2552    |    850     |
 409  |        Michaelon Entan         |  76  |    2076    |    1174    |
 410  |       MegaUltraGigaworm        |  60  |    282     |    161     |
 411  |     SuperMegaUltraGigaworm     |  90  |    3157    |    1549    |
 412  |        Light Vampragon         |  30  |     51     |     26     |
 413  |            Evil Eye            |  5   |     13     |     4      |
 414  |           Terrestria           |  70  |    1260    |    754     |
 415  |           Kelp Ball            |  88  |    3742    |    963     |
 416  |       Drowned Angry BURP       |  77  |    1373    |    460     |
 417  |            Flyrtle             |  5   |     16     |     16     |
 418  |             IceCat             |  30  |     66     |     21     |
 419  |          Necromancer           |  25  |     35     |     65     |
 420  |     Mysterious Necromancer     |  50  |    222     |    208     |
 421  |     Mysterious Necromancer     | 100  |   14580    |    8203    |
 422  |             Necro              |  0   |     65     |     21     |
 423  |        Ring of Malinius        |  10  |     0      |     0      |
 424  |            Zard X-3            |  40  |    173     |     96     |
 425  |            Zard X-3            |  60  |    706     |    325     |
 426  |            Zard X-3            |  80  |    3489    |    1394    |
 427  |        Vampire Warrior         |  20  |     44     |     15     |
 428  |        Vampire Warrior         |  50  |    194     |     64     |
 429  |        Werewolf Warrior        |  20  |     44     |     15     |
 430  |        Werewolf Warrior        |  50  |    194     |     64     |
 431  |           Werebeast            |  30  |     81     |     28     |
 432  |           Vampbeast            |  30  |     81     |     28     |
 433  |           Werebeast            |  60  |    494     |    163     |
 434  |           Werebeast            |  90  |    5022    |    1675    |
 435  |           Vampbeast            |  60  |    494     |    163     |
 436  |           Vampbeast            |  90  |    5022    |    1675    |
 437  |        The Dreaded Hood        |  66  |    708     |    159     |
 438  |         Undead Basher          |  58  |    265     |    133     |
 439  |             Beldak             |  40  |    211     |     0      |
 440  |      Ultra Magma Akriloth      | 150  |  1663000   |  1663000   |
 442  |    Calladus, Dragon Master     | 100  |   19950    |    6412    |
 443  |   Drakath the Undead Dragon    | 100  |   31030    |   10640    |
 444  |   Drakath the Undead Dragon    |  30  |    222     |     77     |
 445  |   Drakath the Undead Dragon    |  65  |    2423    |    487     |
 446  |      Jack 'O Skullington       |  25  |     22     |     28     |
 447  |             Zhilo              |  95  |    6472    |    6470    |
 448  |        Angry Protester         |  45  |    141     |     47     |
 449  |           The Horror           |  40  |    157     |     18     |
 450  |              none              | 122  |     0      |     0      |
 451  |          ShadowSlayer          |  35  |     82     |     27     |
 452  |          ShadowSlayer          |  55  |    269     |     90     |
 453  |          ShadowSlayer          |  95  |    5882    |    1961    |
 454  |        Drakel War Party        |  55  |    278     |     87     |
 455  |          Stat Roller           |  36  |     48     |     41     |
 456  |          D'Orc Weird           |  50  |    122     |     88     |
 457  |         Orc Swordsman          |  23  |     26     |     24     |
 458  |            Orc Mage            |  25  |     22     |     28     |
 459  |           Orc Archer           |  20  |     23     |     22     |
 460  |        Orc Footsoldier         |  10  |     19     |     17     |
 461  |          Orc Blaster           |  25  |     19     |     29     |
 462  |            WolfWing            | 450  |     0      |     0      |
 463  |              Vamp              |  40  |     85     |     42     |
 464  |          Orc General           |  40  |     49     |     54     |
 465  |          Orc Warlord           |  30  |     30     |     33     |
 466  |           Orc Wizard           |  30  |     42     |     29     |
 467  |          Dragonslayer          |  60  |    306     |    153     |
 468  |          ReignDragon           |  70  |    567     |    498     |
 469  |          Little Gogg           |  33  |     70     |     26     |
 470  |      RedNose ReignDragon       |  80  |    3052    |    823     |
 471  |        Great Frost Wyrm        | 112  |   73610    |   33120    |
 472  |        Ferocious Chrask        |  29  |     58     |     22     |
 473  |          Light Dragon          |  65  |    354     |    354     |
 474  |           Duodragon            |  80  |    2501    |    663     |
 475  |          Pere NoFlesh          |  7   |     39     |     9      |
 476  |         Bronze Dragon          |  50  |    122     |    124     |
 477  |         Orc Gladiator          |  25  |     31     |     25     |
 478  |          Jackel Sano           | 100  |    9730    |    2695    |
 479  |      Rascally Sheepbiter       |  71  |    2797    |    -356    |
 480  |             Varnak             | 100  |   20150    |    6346    |
 481  |              Sila              |  41  |    222     |     90     |
 482  |             Fenris             | 100  |    9376    |    2813    |
 483  |       Skull Ape (Undead)       |  80  |    1652    |    612     |
 484  |    Combat Practice Trainer     |  60  |     0      |     0      |
 485  |             Grakma             |  90  |    6893    |    6893    |
 486  |           Fire Ants            |  70  |    951     |    217     |
 487  |             Umazen             |  65  |    527     |    191     |
 488  |          Umazen Queen          |  85  |    3581    |    1551    |
 489  |            Slattwob            |  45  |    150     |     44     |
 490  |          Sir Pwnsalot          |  50  |     0      |     0      |
 491  |             Dragoo             |  55  |    266     |     91     |
 492  |     Pile o' Bones (Undead)     |  50  |    185     |     67     |
 493  |          Hybee Scout           |  15  |     24     |     18     |
 494  |             Xyfrag             |  45  |    310     |    103     |
 495  |             Xyfrag             |  60  |    844     |    279     |
 496  |             Xyfrag             |  87  |    6740    |    2237    |
 497  |             Xyfrag             | 100  |   19600    |    6531    |
 498  |            Merchant            |  30  |     0      |     43     |
 499  |         Savvy Merchant         |  60  |     0      |    255     |
 500  |            Assassin            |  41  |    222     |     90     |
 501  |         Famed Fighters         |  20  |     26     |     21     |
 502  |         Undead Terror          |  50  |    167     |     73     |
 503  |          Hybee Scout           |  30  |     36     |     31     |
 504  |          Hybee Scout           |  45  |     99     |     61     |
 505  |          Hybee Scout           |  60  |    315     |    150     |
 506  |          Hybee Scout           |  75  |    840     |    505     |
 507  |          Hybee Scout           |  90  |    3322    |    1494    |
 508  |             Veegus             |  60  |    384     |    127     |
 509  |            DrakBot             |  85  |    2502    |    900     |
 510  |             Robina             |  10  |     22     |     16     |
 511  |             Bandit             |  25  |     31     |     25     |
 512  |             Bandit             |  50  |    134     |     84     |
 513  |            Tyranna             |  80  |    3838    |    1278    |
 514  |             Malgru             |  95  |    5214    |    1961    |
 515  |            Gizzard             |  45  |     99     |     61     |
 518  |             Sneak              |  50  |    155     |     77     |
 519  |             Sneak              |  25  |     43     |     21     |
 520  |             Sneak              |  75  |    942     |    471     |
 521  |             Sneak              |  35  |     64     |     33     |
 522  |             Sneak              |  90  |    3121    |    1561    |
 523  |       Giind (Megdragon)        | 100  |   18170    |    7009    |
